,CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Coupon_ID
0,17850,16679,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Used,Jan-Nest-USA
1,17850,16680,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Used,Jan-Nest-USA
2,17850,16681,1/1/2019,GGOEGFKQ020399,1,2.05,6.5,Used,Jan-Office
3,17850,16682,1/1/2019,GGOEGAAB010516,5,17.53,6.5,Not Used,Jan-Apparel
4,17850,16682,1/1/2019,GGOEGBJL013999,1,16.5,6.5,Used,Jan-Bags
5,17850,16682,1/1/2019,GGOEGBMJ013399,15,5.15,6.5,Used,Jan-Bags
6,17850,16682,1/1/2019,GGOEGDHC018299,15,3.08,6.5,Not Used,Jan-Drinkware
7,17850,16682,1/1/2019,GGOEGDHG014499,15,10.31,6.5,Clicked,Jan-Drinkware
8,17850,16682,1/1/2019,GGOEGDWC020199,5,9.27,6.5,Used,Jan-Drinkware
9,13047,16682,1/1/2019,GGOEGGOA017399,52,0.98,6.5,Used,Jan-Office
10,13047,16682,1/1/2019,GGOEGOFH020299,31,1.99,6.5,Clicked,Jan-Office
11,13047,16682,1/1/2019,GGOEGOXQ016399,31,1.99,6.5,Clicked,Jan-Office
12,13047,16682,1/1/2019,GGOEYAAB031816,5,17.53,6.5,Used,Jan-Apparel
13,13047,16684,1/1/2019,GGOENEBQ078999,2,122.77,6.5,Clicked,Jan-Nest-USA
14,13047,16684,1/1/2019,GGOENEBQ079199,1,81.5,6.5,Used,Jan-Nest-USA
15,13047,16685,1/1/2019,GGOEGAAR010714,1,14.02,6.5,Used,Jan-Apparel
16,13047,16685,1/1/2019,GGOEGAEQ027913,1,14.02,6.5,Clicked,Jan-Apparel
17,13047,16685,1/1/2019,GGOEGDWR015799,1,10.72,6.5,Not Used,Jan-Drinkware
18,13047,16687,1/1/2019,GGOEGFQB013799,1,9.27,6.5,Clicked,Jan-Lifestyle
19,13047,16687,1/1/2019,GGOEGGOA017399,3,1.02,6.5,Used,Jan-Office
20,13047,16687,1/1/2019,GGOEGOAQ012899,1,2.58,6.5,Not Used,Jan-Office
21,13047,16687,1/1/2019,GGOEGOAR021999,3,1.55,6.5,Clicked,Jan-Office
22,13047,16687,1/1/2019,GGOEGOBG023599,1,3.08,6.5,Used,Jan-Office
23,13047,16687,1/1/2019,GGOEGOLC013299,1,6.18,6.5,Clicked,Jan-Office
24,13047,16688,1/1/2019,GGOENEBB078899,1,122.77,6.5,Used,Jan-Nest-USA
25,13047,16689,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Used,Jan-Nest-USA
26,12583,16692,1/1/2019,GGOEAFKQ020599,1,2.47,102.79,Used,Jan-Office
27,12583,16692,1/1/2019,GGOEGDHC015299,26,8.72,102.79,Clicked,Jan-Drinkware
28,12583,16692,1/1/2019,GGOEGFKQ020399,1,1.64,102.79,Clicked,Jan-Office
29,12583,16692,1/1/2019,GGOEYFKQ020699,1,1.64,102.79,Clicked,Jan-Office
30,12583,16692,1/1/2019,GGOEYOCR078099,26,7.93,102.79,Not Used,Jan-Notebooks & Journals
31,12583,16693,1/1/2019,GGOEGATB060415,1,61.89,6.5,Clicked,Jan-Apparel
32,12583,16693,1/1/2019,GGOEGDHC074099,1,15.67,6.5,Clicked,Jan-Drinkware
33,12583,16694,1/1/2019,GGOENEBB078899,1,122.77,6.5,Not Used,Jan-Nest-USA
34,12583,16695,1/1/2019,GGOEGAAJ080615,1,16.5,6.5,Clicked,Jan-Apparel
35,12583,16695,1/1/2019,GGOEGAAL010615,1,14.02,6.5,Clicked,Jan-Apparel
36,12583,16695,1/1/2019,GGOEGAEB027814,1,14.02,6.5,Used,Jan-Apparel
37,12583,16695,1/1/2019,GGOEGAEC029114,1,15.67,6.5,Clicked,Jan-Apparel
38,12583,16695,1/1/2019,GGOEGAER029714,1,15.67,6.5,Clicked,Jan-Apparel
39,12583,16695,1/1/2019,GGOEGAFJ036214,1,42.91,6.5,Clicked,Jan-Apparel
40,12583,16695,1/1/2019,GGOEGAYC068324,1,15.67,6.5,Clicked,Jan-Apparel
41,12583,16695,1/1/2019,GGOEGAYH068425,1,15.67,6.5,Not Used,Jan-Apparel
42,12583,16696,1/1/2019,GGOEGBJR018199,3,2.89,6.5,Used,Jan-Bags
43,12583,16696,1/1/2019,GGOEGFSR022099,1,1.64,6.5,Clicked,Jan-Lifestyle
44,12583,16696,1/1/2019,GGOEGHPA003010,1,20.62,6.5,Clicked,Jan-Headgear
45,12583,16696,1/1/2019,GGOEGKAA019299,1,1.64,6.5,Used,Jan-Office
46,13748,16696,1/1/2019,GGOEGPJC019099,1,1.24,6.5,Clicked,Jan-Lifestyle
47,17850,16696,1/1/2019,GGOEGPJR018999,1,1.24,6.5,Used,Jan-Lifestyle
48,17850,16696,1/1/2019,GGOENEBQ078999,2,122.77,6.5,Not Used,Jan-Nest-USA
49,17850,16697,1/1/2019,GGOEGAAJ073414,1,19.59,6.5,Clicked,Jan-Apparel
50,17850,16697,1/1/2019,GGOEWEBB082699,1,7.21,6.5,Used,Jan-Waze
51,17850,16699,1/1/2019,GGOENEBQ079099,1,81.5,6.5,Clicked,Jan-Nest-USA
52,17850,16700,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Clicked,Jan-Nest-USA
53,17850,16701,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Clicked,Jan-Nest-USA
54,17850,16702,1/1/2019,GGOENEBJ079499,2,153.71,6.5,Clicked,Jan-Nest-USA
55,17850,16703,1/1/2019,GGOENEBQ079099,2,81.5,6.5,Not Used,Jan-Nest-USA
56,17850,16704,1/1/2019,GGOEADHB014799,10,13.4,6.5,Clicked,Jan-Drinkware
57,17850,16704,1/1/2019,GGOEADWQ015699,1,13.4,6.5,Clicked,Jan-Drinkware
58,17850,16704,1/1/2019,GGOEGAPB058615,1,108.31,6.5,Used,Jan-Apparel
59,17850,16704,1/1/2019,GGOEGBJC019999,10,5.15,6.5,Clicked,Jan-Bags
60,17850,16704,1/1/2019,GGOEGHPA002910,10,22.69,6.5,Clicked,Jan-Headgear
61,17850,16704,1/1/2019,GGOENEBJ079499,1,256.88,6.5,Used,Jan-Nest-USA
62,17850,16704,1/1/2019,GGOEYOBR078599,4,9.27,6.5,Used,Jan-Fun
63,17850,16706,1/1/2019,GGOEGAAB010517,1,14.02,6.5,Clicked,Jan-Apparel
64,17850,16710,1/1/2019,GGOENEBJ079499,1,153.71,28.78,Clicked,Jan-Nest-USA
65,15100,16712,1/1/2019,GGOENEBJ079499,1,153.71,6.5,Clicked,Jan-Nest-USA
66,17850,16713,1/1/2019,GGOENEBQ078999,1,122.77,6.5,Used,Jan-Nest-USA
67,17850,16715,1/1/2019,GGOEYAFB073115,1,57.76,6.5,Used,Jan-Apparel
68,17850,16716,1/1/2019,GGOEGAAJ073415,1,19.59,6.5,Clicked,Jan-Apparel
69,17850,16716,1/1/2019,GGOEGFKQ020399,1,2.05,6.5,Clicked,Jan-Office
